2008-07-10 12:24:37 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 12:24:37 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 12:25:05 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 12:25:05 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 12:25:28 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 12:25:28 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 12:25:57 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 12:25:57 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 12:27:05 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 12:27:05 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 12:28:54 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 12:28:54 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 15:11:53 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 15:11:53 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 15:54:33 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 15:54:33 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 15:55:03 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 15:55:03 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 15:55:21 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 15:55:21 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 16:37:04 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 16:37:04 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 19:59:09 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 19:59:09 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 20:02:15 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-10 20:02:15 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:01:38 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:01:38 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:18:28 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:18:28 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:30:21 Notice: Notice (8): Undefined variable: utype in [APP/controllers/torrents_controller.php, line 312]
2008-07-11 11:30:36 Notice: Notice (8): Undefined index:  Uploadtype in [APP/controllers/torrents_controller.php, line 313]
2008-07-11 11:30:37 Notice: Notice (8): Undefined index:  Uploadtype in [APP/controllers/torrents_controller.php, line 313]
2008-07-11 11:30:53 Notice: Notice (8): Undefined index:  Uploadtype in [APP/controllers/torrents_controller.php, line 314]
2008-07-11 11:31:16 Notice: Notice (8): Undefined index:  Uploadtype in [APP/controllers/torrents_controller.php, line 314]
2008-07-11 11:31:19 Notice: Notice (8): Undefined index:  Uploadtype in [APP/controllers/torrents_controller.php, line 314]
2008-07-11 11:31:48 Notice: Notice (8): Undefined index:  Uploadtype in [APP/controllers/torrents_controller.php, line 314]
2008-07-11 11:33:18 Notice: Notice (8): Undefined index:  Uploadtype in [APP/controllers/torrents_controller.php, line 314]
2008-07-11 11:34:09 Notice: Notice (8): Undefined index:  Uploadtype in [APP/controllers/torrents_controller.php, line 316]
2008-07-11 11:44:11 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:44:11 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:45:28 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:45:28 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:55:25 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:55:25 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:55:25 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:55:25 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:55:37 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:55:37 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:55:37 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:55:37 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:55:41 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 11:55:41 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 12:17:33 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 12:17:33 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  request_url in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 13]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  total in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 13]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  offset in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 13]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 23]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 28]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 29]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 33]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 35]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 37]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 39]
